model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
XGBoost,standard,random_forest,none,0.8817489177489177,0.999616858237548,0.9477419100205501,0.04639790939182175,0.11786794048863025,6
XGBoost,none,random_forest,none,0.8817489177489177,0.9992348111658456,0.9476782355085996,0.046326882521153114,0.11748589341692783,6
XGBoost,robust,random_forest,none,0.8817489177489177,0.9992348111658456,0.9476782355085996,0.046326882521153114,0.11748589341692783,6
XGBoost,log,random_forest,none,0.8804502164502164,0.9992348111658456,0.9474617852921495,0.04663641418257546,0.11878459471562919,6
LightGBM,none,f_classif,smote,0.879392911010558,0.9996190476190476,0.9455888555178835,0.04970275940394923,0.12022613660848958,6
XGBoost,standard,random_forest,smote,0.8793766233766235,1.0,0.9488245000239884,0.047567257911349886,0.12062337662337652,6
XGBoost,robust,random_forest,smote,0.8793593073593075,0.999808429118774,0.9467785799230151,0.04843934360986578,0.12044912175946654,6
XGBoost,standard,mutual_info,none,0.8784588744588746,0.999616858237548,0.9477563639525232,0.04667403751293153,0.12115798377867337,6
XGBoost,none,random_forest,smote,0.8771082251082252,0.999808429118774,0.9482756328132904,0.047053894957559184,0.12270020401054882,6
XGBoost,log,random_forest,smote,0.8771082251082252,1.0,0.9496953046953047,0.04527167521044189,0.12289177489177483,6
XGBoost,log,mutual_info,none,0.8768658008658008,0.999425287356322,0.9465492697741351,0.049121589582728026,0.12255948649052117,6
LightGBM,robust,f_classif,smote,0.8768658008658008,0.999809523809524,0.9460968520680798,0.05245025701926042,0.12294372294372324,6
XGBoost,robust,none,none,0.8768138528138529,0.9992348111658456,0.9461955071684546,0.04710336489522041,0.12242095835199263,6
XGBoost,standard,none,none,0.8768138528138529,0.9994263820470716,0.9462274356486589,0.04713935733892634,0.12261252923321864,6
XGBoost,none,none,none,0.8768138528138529,0.9992348111658456,0.9461955071684546,0.04710336489522041,0.12242095835199263,6
LightGBM,standard,mutual_info,smote,0.8767792207792209,1.0,0.94540959991983,0.04998339403828661,0.12322077922077912,6
XGBoost,log,none,none,0.8756017316017317,0.9992348111658456,0.9459934869664343,0.04740215223933223,0.12363307956411385,6
LightGBM,none,mutual_info,undersample,0.8740573152337859,0.9854145854145854,0.9345082431758859,0.03871343146970222,0.11135727018079944,6
XGBoost,none,mutual_info,none,0.8740086580086579,0.9994263820470716,0.9452405051310376,0.04995919680239797,0.12541772403841367,6
XGBoost,robust,f_classif,smote,0.8738008658008658,1.0,0.9507101323655033,0.05215738861957854,0.1261991341991342,6
