config_name,model_name,scaling,feature_selection,n_features,balancing,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc,best_params,success,error,external_validated,external_accuracy,external_precision,external_recall,external_f1,external_auc,external_n_disease,external_n_healthy,external_disease_pred_positive_rate,external_healthy_pred_positive_rate,generalization_gap,project,task_name,disease_abbr,disease_full,geography_abbr,geography_full,sequencer_abbr,sequencer_full,n_disease,n_healthy,external_source
NoScale_AllFeatures(100%)_NoBalance,RandomForest,none,none,1990,none,0.8649822695035461,0.052680464848853734,0.9059419519373753,0.06576428162132472,0.829,0.08026068637743995,0.8629580580376632,0.05732497562123962,0.9409064558629776,0.036937075431127016,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",True,,True,,,,,,90,0,0.7444444444444445,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_NoBalance,XGBoost,none,none,1990,none,0.8734929078014184,0.05317937214228478,0.8924055624009857,0.04977405920958642,0.861,0.08603358517333666,0.8740058814223364,0.05726032252540199,0.9453544137022398,0.035143259020988325,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 300, 'clf__reg_alpha': 0.1, 'clf__reg_lambda': 1, 'clf__subsample': 0.8}",True,,True,,,,,,90,0,0.7111111111111111,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_NoBalance,LightGBM,none,none,1990,none,0.8692375886524821,0.06737938587403819,0.8939911347234002,0.041127898214232794,0.8450000000000001,0.11517136989913962,0.8661079644128804,0.07652218048778801,0.9492213438735178,0.033541496801003115,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1, 'clf__subsample': 0.8}",True,,True,,,,,,90,0,0.7111111111111111,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_NoBalance,LogisticRegression,none,none,1990,none,0.5657801418439716,0.08970325851831346,0.5768439716312057,0.11178086552847431,0.9333333333333333,0.13333333333333336,0.6935273046887941,0.01784715578320917,0.7195098814229248,0.07870635922650514,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__penalty': 'l2'}",True,,True,,,,,,90,0,1.0,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_NoBalance,SVM_RBF,none,none,1990,none,0.49804964539007096,0.0204643267070298,0.2085106382978723,0.2554609535285725,0.4,0.48989794855663565,0.2741001564945227,0.33575311753018816,0.29170619235836626,0.07016945629895537,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.001}",True,,True,,,,,,90,0,0.0,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_NoBalance,MLP,none,none,1990,none,0.5189716312056738,0.007916423439434708,0.5189716312056738,0.007916423439434708,1.0,0.0,0.6832840268398825,0.006847806553767597,0.7270592885375494,0.09935303332474009,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 50), 'clf__learning_rate_init': 0.01}",True,,True,,,,,,90,0,1.0,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_smote,RandomForest,none,none,1990,smote,0.8776595744680851,0.04296491129322257,0.9131541646759039,0.04160386653061912,0.8453333333333333,0.07514726283179655,0.8759421903148612,0.04784303461818688,0.9412872200263503,0.040507238470386855,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",True,,True,,,,,,90,0,0.7777777777777778,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_smote,XGBoost,none,none,1990,smote,0.8691489361702127,0.04102455280561579,0.8975850495804728,0.038654949684323134,0.845,0.07251053563295319,0.868656541686442,0.04673551994482926,0.9450184453227932,0.028379222892946622,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 300, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1, 'clf__subsample': 0.8}",True,,True,,,,,,90,0,0.7333333333333333,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_smote,LightGBM,none,none,1990,smote,0.873404255319149,0.06259555845612115,0.9027871017871018,0.03388879848660295,0.8446666666666667,0.11226159925222279,0.8696653129336841,0.07217040771002473,0.9400026350461133,0.038748443275398066,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1, 'clf__subsample': 0.8}",True,,True,,,,,,90,0,0.7,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_smote,LogisticRegression,none,none,1990,smote,0.6582446808510638,0.08341911233284179,0.6659850392264186,0.09268964184158568,0.7306666666666667,0.0598665181883831,0.6919706340331147,0.056943263582425456,0.7150843214756258,0.09297685479296172,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",True,,True,,,,,,90,0,0.7777777777777778,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_smote,SVM_RBF,none,none,1990,smote,0.49804964539007096,0.0387975918212745,0.3,0.39999999999999997,0.04133333333333333,0.06455316499685441,0.07195767195767196,0.11066172666583173,0.28491567852437416,0.09297685479296172,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",True,,True,,,,,,90,0,0.044444444444444446,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
NoScale_AllFeatures(100%)_smote,MLP,none,none,1990,smote,0.5104609929078014,0.0176963323335502,0.3147163120567376,0.2569966501341448,0.6,0.48989794855663565,0.4128614916286149,0.33711789279730475,0.642231884057971,0.12743769579523484,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 50), 'clf__learning_rate_init': 0.01}",True,,True,,,,,,90,0,0.0,,,phylum_abundance_PRJEB6337,D9_G2_S3,D9,LC,G2,China,S3,Illumina HiSeq 2000,123,114,phylum_abundance_PRJEB38481.xlsx
