feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc
rev_neg_sucrose,0.256641239,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_dimethylarginine,0.220378011,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_3-hydroxybutyrylcarnitine,0.150132075,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxyhexanoate,0.103608504,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
fwd_pos_hexanoylcarnitine,0.08494024,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_3-hydroxybutyrylcarnitine ,0.084491834,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N6-succinyladenosine,0.055478971,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_docosahexaenoate,0.053839229,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5,6-dihydrothymine",0.038667999,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
fwd_pos_laurylcarnitine,0.035398893,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
fwd_pos_sphingomyelin,0.024903724,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
fwd_pos_myristoleoylcarnitine,0.022860961,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
fwd_pos_cholate,0.011735483,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_10-nonadecenoate,0.011532623,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_C-glycosyltryptophan,0.010228774,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-allylphenol sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-methyl-2-oxovalerate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-methylhistidine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-methylxanthine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3b-hydroxy-5-cholenoic acid,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-acetamidobutanoate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_aconitate [cis or trans],0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-methyl catechol sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_androsterone sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_andro steroid monosulfate (1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_alpha-ketobutyrate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_4-androsten-3alpha,17alpha-diol monosulfate (2)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_4-androsten-3alpha,17alpha-diol monosulfate (3)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-methyl-2-oxobutyrate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-indoxyl sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_4-androsten-3beta,17beta-diol disulfate (2)",0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxysebacate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxypyridine sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_arachidate (20:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxyoctanoate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxymyristate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxylaurate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_arachidonate (20:4n6),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_3-hydroxydecanoate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
