feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc,project,task_name
msp_0468,1.03895103931427,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0389,0.9137455821037292,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0029,0.5104936361312866,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0068,0.3833930790424347,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0107,0.3601827025413513,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0017,0.3575269281864166,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0236,0.33114463090896606,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_1381,0.24063251912593842,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0208,0.23631994426250458,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0388,0.22018028795719147,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0769,0.19901537895202637,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0154,0.18457311391830444,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0048,0.16609331965446472,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0045,0.1453685760498047,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0076,0.10653436928987503,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0572,0.09048148989677429,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0591,0.055977825075387955,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
msp_0378,0.05294875055551529,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.9472592592592592,0.9878121878121876,phylum_abundance_PRJEB15371,D4_G2_S3
