feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc
Histidine,1.30239892,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glyceraldehyde,0.58589524,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Malonic Acid,0.53906703,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Maleic Acid,0.496855855,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Erythrose,0.338206589,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glycerate,0.335160434,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
G16BP,0.297743738,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Hyppuric Acid,0.27024284,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
IMP,0.267452866,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
2-Aminoadipate,0.253739625,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Anthranilate,0.246730477,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Adenylosuccinate,0.242726505,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
gama-Aminobutyrate,0.238286451,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Linolenic Acid,0.232654959,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glucoronate,0.227267593,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Hydroxyproline,0.214048818,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Methionine,0.208473623,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glycocholate,0.202535555,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Epinephrine,0.194241658,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glycochenodeoxycholate,0.18960391,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Linoleic Acid,0.176483959,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
PEP,0.169187188,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
DTMP,0.153084055,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Allantoin,0.151984274,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
OH-Phenylpyruvate,0.148921058,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Creatine,0.14470385,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glutamic acid,0.144022614,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Pyruvate,0.128090516,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Alanine,0.125421241,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Arginine,0.113670707,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Aspartic Acid,0.113213398,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Adipic Acid,0.110538125,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Xanthine,0.099272646,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Taurine,0.095466077,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Margaric Acid,0.092729807,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Lysine,0.082862161,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
N-AcetylGlycine,0.06724152,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Homogentisate,0.054186281,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Xanthurenate,0.051833555,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Reduced glutatione,0.050280727,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Trimethylamine-N-oxide,0.05020152,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Proline,0.04969015,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
2-Deoxyuridine,0.049235862,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Oxalic Acid,0.047157031,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
4-Pyridoxic acid,0.047081538,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
L-Kynurenine,0.045057919,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glutamine,0.044491526,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
Glucose,0.043456759,TRUE,1,standard_random_forest_56f(50%)_NoBalance,XGBoost,0.677459944,0.889479638
