feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc
Taurine,0.752062917,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Dehydroisoandrosterones sulfates,0.640549242,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Glycerol 3-phosphate ,0.494760811,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hydroxyphenyllactic acid,0.469364971,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hexose alcohols,0.446280509,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Orotidine,0.433195502,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N8-Acetylspermidine,0.393514067,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
4-Hydroxy-3-methoxyphenylglycol sulfate,0.391962677,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Indole-3-propionic acid ,0.333383381,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Quinolinic acid,0.223441616,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
D-Galacturonic acid ,0.195071265,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Aspartyl-Phenylalanine,0.182934389,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Androsterones sulphate,0.136444524,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Oxalic acid,0.105812728,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Cystathionine,0.097288065,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-Saccharopine ,0.083455987,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Guanidinosuccinic acid,0.055354338,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Pentose phosphates,0.038178124,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Dihydrothymine,0.037925936,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Ketoglutaric acid,0.037270781,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Phenyllactic acid,0.036880977,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Acetyl-L-aspartic acid,0.033545926,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Isobutyric acid,0.02923779,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Adenine,0.029003114,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Isovaleric acid/Valeric acid,0.02561646,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Tryptophan,0.016823869,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-Aspartic acid,0.016343093,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
D-Glucuronic acid,0.014986101,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
"1,5-Anhydro-D-sorbitol",0.010822649,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Thymine,0.007613934,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hippuric acid,0.007534458,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Asparagine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Lactic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Mevalonic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
DL-Glutamic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Arginine succinate ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
DL-Glutamine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Malic acid/Diglycolic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Ehtylmalonic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Methionine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
4-Acetamidobutanoic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
2-Hydroxycaproic acid,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Methylimidazoleacetic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
"2,5-Dihydroxybenzaldehyde/Salicylic acid",0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Ornithine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hypoxanthine,0,TRUE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-Threonic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
N-Isobutyrylglycine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
p-Anisic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
"2,2'-Thiodiacetic acid ",0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
L-(+)-Tartaric acid ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Cotinine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Allantoic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Indoleacetic acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Choline,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
(R)-Butyryl carnitine ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Carnitine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Histidine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
2-Aminoisobutyric acid,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Lysine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Spermidine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Decanoylcarnitine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
5'-Deoxy-5'-(methylthio)adenosine ,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Octanoylcarnitine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Hexanoylcarnitine,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
Proline,0,FALSE,1,standard_random_forest_41f(30%)_NoBalance,XGBoost,0.998287342,0.999616858
