model,component,method,n_tasks,meta_mean_z,meta_std_z,SNR
LightGBM,balancing,smote,6,0.13344466085834789,0.28398592708553694,0.46989885107283563
LightGBM,balancing,none,6,0.11301862268846248,0.3106527718121694,0.36381012160032217
LightGBM,balancing,undersample,6,-0.24646328354681002,0.5894675522409168,-0.4181117054023694
LogisticRegression,balancing,smote,6,0.09221038867809944,0.18177430330832106,0.5072795604211144
LogisticRegression,balancing,none,6,0.07574327827182757,0.08208381963417447,0.9227552836770391
LogisticRegression,balancing,undersample,6,-0.1679536669499233,0.24801169105738388,-0.6772006038661416
MLP,balancing,smote,6,0.06484418975197019,0.23468511898671282,0.27630294597264804
MLP,balancing,undersample,6,-0.0032425649139532337,0.10431407151081548,-0.031084635725459518
MLP,balancing,none,6,-0.06160162483801731,0.13985676803257843,-0.4404622365051918
RandomForest,balancing,none,6,0.051945995344399476,0.043913419174216255,1.182918486449799
RandomForest,balancing,undersample,6,-0.0029404012343696834,0.14413741939988173,-0.02039998528218479
RandomForest,balancing,smote,6,-0.04900559411003295,0.1239291749934937,-0.3954322629244143
SVM_RBF,balancing,smote,6,0.048758171477854446,0.21818540027538055,0.22347128367120256
SVM_RBF,balancing,none,6,0.0035095587548223755,0.08224773163091752,0.042670584163601505
SVM_RBF,balancing,undersample,6,-0.05226773023267689,0.2171053899426507,-0.240748192601223
XGBoost,balancing,none,6,0.17402824811411707,0.1976988529383416,0.880269387138999
XGBoost,balancing,smote,6,0.0853806104164115,0.29778386253804073,0.28672007169463204
XGBoost,balancing,undersample,6,-0.2594088585305245,0.4928124045920672,-0.526384596072118
LightGBM,feature_selection,random_forest,6,0.24441798064329387,0.1436984340111989,1.7009091457756984
LightGBM,feature_selection,none,6,0.22599975818760995,0.40344550398362755,0.5601741894657013
LightGBM,feature_selection,mutual_info,6,0.08241028437229826,0.1322923478250032,0.622940674401749
LightGBM,feature_selection,differential,6,0.01486322987888164,0.22545163888334585,0.06592646632554415
LightGBM,feature_selection,f_classif,6,-0.09530196555808178,0.3163863765726473,-0.3012201934560825
LightGBM,feature_selection,variance,6,-0.32172278206559485,0.4803225293940512,-0.6698057292283642
LogisticRegression,feature_selection,differential,6,0.27843903744138726,0.17915193078524413,1.5542061769636306
LogisticRegression,feature_selection,f_classif,6,0.25548272680763406,0.1755482528088233,1.4553418944354948
LogisticRegression,feature_selection,none,6,0.06047282172563501,0.35773852194221384,0.16904196226148466
LogisticRegression,feature_selection,random_forest,6,0.05161897152984581,0.26357241793261676,0.1958436012945876
LogisticRegression,feature_selection,mutual_info,6,-0.02119946674303631,0.2947210370392749,-0.07193061939521896
LogisticRegression,feature_selection,variance,6,-0.5844988762777027,0.4244880772325974,-1.3769500431867905
MLP,feature_selection,differential,6,0.14267539479283844,0.10553979913130593,1.3518634294095138
MLP,feature_selection,random_forest,6,0.11233264629330712,0.19400967370085984,0.579005387465941
MLP,feature_selection,f_classif,6,0.07133567308038108,0.15754865939482038,0.4527850211762978
MLP,feature_selection,none,6,0.01771835254790962,0.37171967477088547,0.04766589919898798
MLP,feature_selection,mutual_info,6,-0.03486462897700544,0.22662071030368042,-0.15384573162040444
MLP,feature_selection,variance,6,-0.2973852027054917,0.15740012032790995,-1.8893581662196466
RandomForest,feature_selection,random_forest,6,0.2552196083253773,0.15425414520206673,1.6545397077728439
RandomForest,feature_selection,differential,6,0.19029857059692315,0.13048110089696915,1.4584378066152832
RandomForest,feature_selection,mutual_info,6,0.1871194166670612,0.11549055615004782,1.6202140062772892
RandomForest,feature_selection,none,6,0.13813809190725784,0.3799076757504528,0.36360963656337286
RandomForest,feature_selection,f_classif,6,-0.12441993247172528,0.4389784501383007,-0.2834306158594496
RandomForest,feature_selection,variance,6,-0.5542636937533946,0.4749922129621769,-1.166890063937806
SVM_RBF,feature_selection,random_forest,6,0.05838224800391414,0.13414828176115096,0.4352068266357885
SVM_RBF,feature_selection,mutual_info,6,0.05360136233254196,0.18052937763467972,0.2969121316144455
SVM_RBF,feature_selection,differential,6,0.007722345476343266,0.07323673379598714,0.10544360836537466
SVM_RBF,feature_selection,none,6,-0.005600806640650611,0.14290436556969538,-0.03919269098828938
SVM_RBF,feature_selection,f_classif,6,-0.050816586879151804,0.2116538314832379,-0.2400929221221127
SVM_RBF,feature_selection,variance,6,-0.06702243338676413,0.2743236992972555,-0.2443187867415678
XGBoost,feature_selection,none,6,0.25647240901994933,0.28739511689036273,0.8924035028674131
XGBoost,feature_selection,f_classif,6,0.16315114475000828,0.6880433972527908,0.23712333466382451
XGBoost,feature_selection,random_forest,6,0.11827999545135247,0.434261937675029,0.2723701646167868
XGBoost,feature_selection,differential,6,0.1036131350466023,0.09749531478308511,1.062749889849872
XGBoost,feature_selection,mutual_info,6,-0.04254062458785346,0.330388064555164,-0.12875956837342278
XGBoost,feature_selection,variance,6,-0.427994453666752,0.4024754067448134,-1.0634052329515844
LightGBM,scaling,robust,6,0.11221490000274927,0.16550210739346954,0.67802701590963
LightGBM,scaling,none,6,0.060533763583580785,0.25789273377889027,0.23472457985373357
LightGBM,scaling,log,6,-0.07031948503278532,0.20277073009299618,-0.3467930751175719
LightGBM,scaling,standard,6,-0.10242917855354434,0.2124676860459201,-0.48209297357060965
LogisticRegression,scaling,robust,6,0.34256300235261544,0.5848212211418069,0.5857567919368492
LogisticRegression,scaling,standard,6,0.12499897152701611,0.7782275477766954,0.16062008070020584
LogisticRegression,scaling,log,6,-0.17929565377018966,0.5239023574170473,-0.3422310497974399
LogisticRegression,scaling,none,6,-0.2882663201094369,0.4300158270024889,-0.6703621169454501
MLP,scaling,standard,6,0.7861940465958219,0.22160425362398514,3.5477389704343154
MLP,scaling,robust,6,0.628722080438084,0.23253733709153,2.703746797404023
MLP,scaling,none,6,-0.6950570344347596,0.18384198905062113,-3.780730604711717
MLP,scaling,log,6,-0.7198590925991469,0.39981656341137467,-1.8004734132499602
RandomForest,scaling,none,6,0.10949036778099568,0.16846078429546155,0.6499457321115264
RandomForest,scaling,robust,6,0.04497057077583039,0.17684959010389834,0.25428710775869134
RandomForest,scaling,log,6,-0.07647475075390973,0.29877277841768446,-0.25596291321760917
RandomForest,scaling,standard,6,-0.07798618780292052,0.17828726687569907,-0.437418718507206
SVM_RBF,scaling,standard,6,0.6898605611244072,0.7521013248657927,0.9172441775016259
SVM_RBF,scaling,robust,6,0.3219706210911489,0.19513267678847565,1.650008734519467
SVM_RBF,scaling,log,6,-0.28784224745723264,0.6979945517570801,-0.4123846622192677
SVM_RBF,scaling,none,6,-0.7239889347583235,0.9128711053839844,-0.7930899888147838
XGBoost,scaling,robust,6,0.13529098017322402,0.13695922050499412,0.987819437598878
XGBoost,scaling,none,6,0.08830528974745104,0.18345005374953863,0.48135875647119086
XGBoost,scaling,log,6,-0.10277112922025684,0.18171018857294047,-0.5655771425222168
XGBoost,scaling,standard,6,-0.12082514070041267,0.13757718344094244,-0.8782353125602336
